"ID","Company_Name","City","State","Employment_Start","Employment_End","ID_PK","Position","Employment_Start_Change","Employment_End_Change"
"10112","Baby Siting","Tioga","La","01/01/11 00:00:00",,"6202","My Mom (Chandra Lasyone)",,
"10125","Life Force Church","Pineville","LA","01/01/11 00:00:00","06/01/11 00:00:00","6203","Nursery Worker",,
"10141","Stonynook Farms","Contoocook","New HAmpshire","07/01/11 00:00:00","10/27/11 00:00:00","6207","animal caretaker",,
"10301","Babysitting ","Manila ","Ar","08/01/07 00:00:00",,"6368","babysitter","Month-Only",
"10166","United States Equestrian Federation","various","Various","01/01/95 00:00:00",,"6369","Licensed Horse Show Judge",,
"9868","The Adjutant General","St Paul","Minnesota","11/01/99 00:00:00","05/01/05 00:00:00","6425","Unit Clerk, Training NCO, Supply NCO",,
"10407","VA Hospital ","New York","NY ","08/10/11 00:00:00","08/30/11 00:00:00","6426","medical assistant",,
"8772","Miss Tommie's School of Dance","Winnsboro","LA","09/01/10 00:00:00",,"6427","Assistant Instructor","Month-Only",
"8772","LSU AgCenter- Macon Ridge Station","WInnsboro","LA","09/12/11 00:00:00",,"6428","Student Transient Worker",,
"10413","Grlyt","Honolulu","HI","07/27/11 00:00:00","09/29/11 00:00:00","6429","Cashier",,
"10416","Boys and Girls Club of Hawaii","Honolulu","HI","06/01/10 00:00:00","07/31/10 00:00:00","6430","Volunteer",,
"10404","Microsoft","New York","New York","09/09/17 00:00:00","06/12/19 00:00:00","6431","Software Engineer",,
"10404","Mozilla","New York","New York","07/01/19 00:00:00","05/31/22 00:00:00","6432","Platform Software Engineer",,
"10421","Madbutcher Grocery Store","Earle","AR","08/15/11 00:00:00","05/04/12 00:00:00","6433","Cashier",,
"10433","Burger King","Midwest City","OK","01/01/09 00:00:00","11/14/11 00:00:00","6434","Manager of Burger Flipping",,
"10450","Solid grounds Cafe","Harrah","OK","01/10/08 00:00:00","12/12/10 00:00:00","6435","barista",,
"10457","Walmart","Moore","Oklahoma","01/01/11 00:00:00","01/20/11 00:00:00","6436","PFC",,
"10443","N/A","N/A","N/A","01/01/12 00:00:00","01/01/12 00:00:00","6437","N/A","Year-Only","Year-Only"
"10467","Golden Ridge Stables","Lakeville","MN","05/20/11 00:00:00",,"6438","Groom",,
"10471","A simpler time","bloomington","MN","01/01/09 00:00:00","01/01/10 00:00:00","6439","sales clerk","Year-Only","Year-Only"
"10478","Hawaii Newspaper Agency","Honolulu","Hi","01/12/08 00:00:00",,"6440","Delover Newspaper",,
"10468","Self-employment (""Greenside"")","Burnsville","MN","01/01/08 00:00:00",,"6441","Founder, Worker","Year-Only",
"10484","CVS Pharmacy","Philadelphia ","PA","10/11/08 00:00:00","12/20/08 00:00:00","6442","Cashier",,
"10484","4Life Promotions","Philadelphia ","PA","04/14/09 00:00:00","12/04/10 00:00:00","6443","Screenprinter",,
"10484","Army National Guard","Philadelphia ","PA","04/24/11 00:00:00",,"6444","13 F- Fire Support Specialist",,
"10533","Louisiana Army National Guard","Pineville","LA","08/08/11 00:00:00",,"6459","PVT, Infantryman",,
"10566","Earle High School","Earle ","AR ","06/09/08 00:00:00","07/19/08 00:00:00","6477","Tutor ",,
"10687","Silverwood","Athol","ID","04/14/12 00:00:00",,"6598","Grounds keeper",,
"10753","Campus Creations","Franklin","New Hampshire","07/12/11 00:00:00",,"6626","store associate",,
"10137","Campus Creations ","Franklin","NH","09/12/07 00:00:00","03/12/11 00:00:00","6204","sales associate ",,
"10137","Tiny Twisters ","Franklin","NH","07/05/08 00:00:00","08/10/09 00:00:00","6205","teacher assistant ",,
"10153","Country Boy Cafe","Athol","ID","02/01/10 00:00:00","04/01/10 00:00:00","6212","Buser/Dishwasher ","Month-Only","Month-Only"
"10153","Kayla's Babysitting","Athol","ID","05/01/10 00:00:00",,"6213","Babysitter","Month-Only",
"10142","Campus creations","Franklin","New hampsire","10/01/11 00:00:00",,"6330","sales associate ",,
"10143","Campus Creations ","Franklin ","New Hampshire","07/08/11 00:00:00",,"6331","store clerk",,
"10343","McDonalds","Honolulu","Hawaii","05/30/11 00:00:00","07/04/11 00:00:00","6388","Employee",,
"10343","Police Authletic League ","honolulu","hawaii","04/21/10 00:00:00","06/01/10 00:00:00","6389","Official Refferee",,
"10343","Police Authletic League ","Honolulu","Hawaii","07/13/11 00:00:00","09/02/11 00:00:00","6390","Official Refferee",,
"10345","Waikiki-Kapahulu Public Library","Honolulu","HI","07/03/11 00:00:00",,"6391","Student Helper",,
"10346","Cafeteria Duty","Honolulu","Hi","01/01/11 00:00:00",,"6392","student","Year-Only",
"10394","Megan Talley","Chaska","MN","06/12/11 00:00:00","08/28/11 00:00:00","6420","Nanny",,
"10484","GE Maintenance ","Philadelphia ","PA","07/08/07 00:00:00","02/02/08 00:00:00","6445","Electricians Assistant",,
"10031","Sonic Drive-In","Winnsboro","Louisiana","08/30/11 00:00:00",,"6446","Carhop",,
"10489","Police deparment","mid-west","oklahoma","01/01/12 00:00:00","01/01/12 00:00:00","6447","S.W.A.T.","Year-Only","Year-Only"
"10490","Breeden Painting","Midwest City ","OK","01/01/10 00:00:00","01/01/11 00:00:00","6448","Assistant","Year-Only","Year-Only"
"10493","N/a","n/a","n/a","01/01/12 00:00:00","01/01/12 00:00:00","6449","n/a","Year-Only","Year-Only"
"10496","Fashion fury","california","ca","01/01/12 00:00:00","01/01/12 00:00:00","6450","art designer","Year-Only","Year-Only"
"10498","Vogt's Lawn Service","Del City","OK","06/01/10 00:00:00",,"6451","Head Mower",,
"10503","Hair Rage","oklahoma city","oklahoma","06/23/15 00:00:00","01/01/16 00:00:00","6452","Receptionist",,"Year-Only"
"10507","McDonalds","Oklahoma City","Oklahoma","09/29/09 00:00:00","07/25/12 00:00:00","6453","Team member",,
"10517","Oklahoma University Medical Center","okc","OK","01/01/12 00:00:00","01/01/12 00:00:00","6454","Nurse","Year-Only","Year-Only"
"10523","None","none","none","01/21/12 00:00:00","01/21/12 00:00:00","6455","none",,
"10526","Solier creek baptist","mid west city","OK","05/30/12 00:00:00","08/15/12 00:00:00","6456","teacher",,
"10524","Foxy ladies","yomamaville","ripitopen","01/01/43 00:00:00","01/02/43 00:00:00","6457","knees",,
"10531","Swag Daddy Pop Tart","Everywhere","Anywhere","08/21/97 00:00:00",,"6458","Boss",,
"10545","Conley Household .","Midwest City","OK","01/01/12 00:00:00","01/01/12 00:00:00","6460","babysitter ","Year-Only","Year-Only"
"10543","Poe's ","Midwest City","Oklahoma","01/01/12 00:00:00","01/01/12 00:00:00","6461","babysitter","Year-Only","Year-Only"
"10544","Brewer House hold","Midwest City","Ok","06/10/09 00:00:00",,"6462","Babysitter",,
"10542","Greys Automotive","Midwest City","OK","01/01/12 00:00:00","01/01/12 00:00:00","6463","Assistant or Apprentice","Year-Only","Year-Only"
"10539","Nguyen Family","Oklahoma City","OK","03/01/11 00:00:00","07/01/11 00:00:00","6464","Babysitter","Month-Only","Month-Only"
"10569","Feed My Starving Children","HamLake","MN","02/04/12 00:00:00","02/04/12 00:00:00","6478","Volunteer",,
"10570","Anoka County Library","Anoka","MN","01/17/12 00:00:00","12/25/12 00:00:00","6479","head librarian",,
"10576","Andover youth hockey association","andover ","MN","11/01/09 00:00:00",,"6480","refferee",,
"10634","Henry's Farm","Wyndmere","ND","06/01/11 00:00:00",,"6520","Farmhand",,
"10638","Piper Printing","Franklin","New Hampshire","06/01/02 00:00:00","06/01/06 00:00:00","6521","Bench Worker","Month-Only","Month-Only"
"10638","Walmart","Tilton","New Hampshire","07/01/06 00:00:00","02/01/07 00:00:00","6522","Cashier and customer service","Month-Only","Month-Only"
"0","Lins","St. George","Utah","01/04/06 00:00:00","07/22/07 00:00:00","436","Bagger Boy",,
"3731","Coulon Casting","New Orleans","LA","10/20/09 00:00:00","10/20/09 00:00:00","4668","Movie Extra",,
"3731","Coulon Casting","New Orleans","LA","11/03/09 00:00:00","11/03/09 00:00:00","4669","Movie Extra",,
"3731","Coulon Casting","New Orleans","LA","01/07/09 00:00:00","01/07/09 00:00:00","4670","Movie Extra",,
"3731","Coulon Casting","New Orleans","LA","01/08/09 00:00:00","01/08/09 00:00:00","4671","Movie Extra",,
"3731","Coulon Casting","New Orleans","LA","01/09/09 00:00:00","01/09/09 00:00:00","4672","Moive Extra",,
"10579","United Medical Associates","Brooklyn","New York","02/19/10 00:00:00",,"6481","Filing ",,
"10580","Delkor Systems Inc.","Circle Pines","MN","06/17/11 00:00:00",,"6482","Inventory Control",,
"9935","Dr. Tomlinson and Craddock","Kewanee","Il","01/01/89 00:00:00","01/01/95 00:00:00","6483","Dental Assistant, Osha Control, All Charting","Year-Only","Year-Only"
"9935","Self-Employed ","Kewanee","Il","01/01/95 00:00:00","01/01/02 00:00:00","6484","Owner, Operater Daycare Center","Year-Only","Year-Only"
"9935","Cerno's Bar and Grill","Kewanee","Il","01/01/00 00:00:00","01/01/08 00:00:00","6485","Shift Manager","Year-Only","Year-Only"
"9935","Characters Pub & Grub","Kewanee","Il","01/01/08 00:00:00","01/01/10 00:00:00","6486","Owner Operater","Year-Only","Year-Only"
"9935","Grill N Chill","Kewanee","Il","01/01/09 00:00:00","01/01/11 00:00:00","6487","Manager","Year-Only","Year-Only"
"9935","KD Industries ","Kewanee","Il","01/01/11 00:00:00",,"6488","Quality Control","Year-Only",
"10585","Mary Benson","Campbell","MN","09/01/09 00:00:00","05/31/10 00:00:00","6489","Babysitter",,
"10593","O.C Lasyone","Tioga","LA","05/16/11 00:00:00","08/19/11 00:00:00","6490","Pawn Shop",,
"10592","Doyce","LA","bentely","05/23/11 00:00:00","07/19/11 00:00:00","6491","fenceing",,
"10588","MJP Farms ","Tintah","MN","09/19/11 00:00:00",,"6492","Farm Hand ",,
"10587","Sara's House","Nashua","MN","06/13/09 00:00:00","08/12/10 00:00:00","6493","Babysiter",,
"10587","Alyssa's House","Nashua","MN","06/20/09 00:00:00","06/30/09 00:00:00","6494","animalfeeder",,
"10586","Super Best ","Odense ","Denmark ","08/04/10 00:00:00",,"6495","Cashier ",,
"10586","My self ","Odense ","Denmark ","05/07/09 00:00:00",,"6496","Babysitter ",,
"10596","Amanda Heyda","Tintah","MN","03/12/12 00:00:00",,"6497","Babysitter",,
"10596","Linda Heifort","Tintah","MN","01/01/03 00:00:00",,"6498","Babysitter","Year-Only",
"10596","Molly Hamer","Tintah","MN","01/01/07 00:00:00","01/01/09 00:00:00","6499","Babysitter","Year-Only","Year-Only"
"10598","Family Farm","Campbell","MN","05/01/10 00:00:00",,"6500","farm hand",,
"10597","Schreiber Farms","Fox Home ","MN","01/01/11 00:00:00","01/01/11 00:00:00","6501","Rock Picker","Year-Only","Year-Only"
"10601","Mary Benson","Campbell","MN","09/01/09 00:00:00","05/28/10 00:00:00","6502","Babysitter",,
"10602","Wilbur-Ellis Air","Whapeton","ND","05/15/11 00:00:00",,"6503","Loader",,
"10602","Monty Wiertzema","Doran","MN","03/01/12 00:00:00",,"6504","assisstant",,
"10604","Papa johns","san antonio","texas","02/10/09 00:00:00","05/28/09 00:00:00","6505","inside staff",,
"10604","Vocelli pizza","bristow","virginia","02/22/12 00:00:00",,"6506","inside staff",,
"10638","Staples ","Tilton","New Hampshire","08/01/08 00:00:00","01/01/09 00:00:00","6523","Cashier and customer service","Month-Only","Year-Only"
"10640","Market Basket ","Tilton","NH","10/10/11 00:00:00",,"6525","Sales Associate ",,
"10640","Campus Creations","Franklin ","NH","10/08/11 00:00:00",,"6526","Sales Associate",,
"10642","Campus Creations","Franklin","New Hampshire","07/05/11 00:00:00",,"6527","store clerk",,
"10649","Silverwood Theme Park","Athol","ID","04/01/10 00:00:00","08/01/10 00:00:00","6528","Lifeguard","Month-Only","Month-Only"
"10649","Kim's Cleaning","Spirit Lake","ID","12/01/10 00:00:00","08/01/11 00:00:00","6529","Housekeeper","Month-Only","Month-Only"
"10649","Wendy's Restaurant","Post Falls","ID","08/01/11 00:00:00","04/01/12 00:00:00","6530","Crew Member","Month-Only","Month-Only"
"10649","Silverwood Theme Park","Athol","ID","04/01/12 00:00:00",,"6531","Cashier","Month-Only",
"10648","Silverwood Theme Park","Athol","ID","05/05/09 00:00:00","08/08/09 00:00:00","6532","Cashier",,
"10719","Silverwood Theme Park","Athol","ID","05/12/08 00:00:00",,"6599","Cook ",,
"10265","Market Basket","Tilton ","NH","09/01/11 00:00:00",,"6731","Bagger ","Month-Only",
"10265","Campus Creations","Franklin ","NH","10/10/11 00:00:00",,"6732","Sales Associate",,
"10883","Stoneridge Resort","Blanchard","ID","06/05/09 00:00:00","08/28/09 00:00:00","6733","Housekeeper",,
"5464","Franklin school bakery ","franklin","New Hampshire ","07/08/09 00:00:00","08/08/09 00:00:00","4756","cook and cleaning up after myself",,
"3981","Franklin High School","Franklin","NH","07/01/08 00:00:00","08/01/08 00:00:00","4760","maintenance ",,
"3981","Campus Creations","Franklin","NH ","09/01/08 00:00:00",,"4761","sales associate ",,
"8371","Jipsons Tree Service","franklin","NH","05/25/06 00:00:00",,"4766","Tree worker",,
"5464","Campus Creations","Franklin","New Hampshire ","10/01/07 00:00:00","06/17/11 00:00:00","4769","woker",,
"8386","Dunkin' Donuts","Tilton","NH","08/26/09 00:00:00","08/31/10 00:00:00","4780","Crew Member",,
"10604","Jiffy lube live","bristow","virginia","03/17/12 00:00:00",,"6507","parking staff",,
"10613","Dominion Valley Country Club","Haymarket","VA","08/06/11 00:00:00","11/01/11 00:00:00","6508","Child Care/ Pool Clerk",,
"10614","Red Robin ","Manassas ","VA","03/20/12 00:00:00",,"6509","Hostess ",,
"10616","Habit For Humanity","Front Royal","Va","07/01/10 00:00:00",,"6510","Home Matinence","Month-Only",
"10607","Child care ","nokesville"," va ","01/01/12 00:00:00","01/01/12 00:00:00","6511","watching the children and takes care of them","Year-Only","Year-Only"
"10610","Music and arts","manassas","virginia","08/27/10 00:00:00","10/27/10 00:00:00","6512","sells",,
"10615","Tropical smoothie","manassas","va","08/01/11 00:00:00",,"6513","shift leader",,
"10618","N/a ","n/a","n/a","01/01/12 00:00:00","01/01/12 00:00:00","6515","n/a ","Year-Only","Year-Only"
"10617","Holy Family church","woodbridge","VA","02/10/12 00:00:00",,"6517","Handling money. Help in fundrasing. Help out with",,
"10620","Nutrition and Welness Course","Nokesville","VA","09/01/11 00:00:00","06/01/12 00:00:00","6518","Student","Month-Only","Month-Only"
"10621","Ana's House Cleaning Services ","manassas ","va ","01/04/08 00:00:00",,"6519","secretary ",,
"10648","Silverwood Theme Park","Athol","ID","05/05/11 00:00:00","08/10/11 00:00:00","6533","Attendent",,
"10658","Silverwood Theme Park","Athol","Idaho","03/17/12 00:00:00",,"6534","Cashier",,
"10651","Coppercreek Camp","Greenville ","CA","06/16/11 00:00:00","08/01/11 00:00:00","6535","Nanny ",,"Month-Only"
"10663","Silverwood","Athol","Idaho","06/10/11 00:00:00","09/01/11 00:00:00","6536","Lifeguard",,
"10660","Canyon Creek Farms","Newman Lake","Washington","06/10/11 00:00:00","09/02/11 00:00:00","6537","coordinater",,
"10662","Silverwood Theme Park","Athol","ID","06/10/11 00:00:00","08/31/11 00:00:00","6538","Maintenace",,
"10660","No Bad Days Salon","Rathdrum","Idaho","03/01/11 00:00:00","05/01/11 00:00:00","6539","Front desk/secretary","Month-Only","Month-Only"
"10656","McCraigie's Equine Vetrinary","Yorba Linda ","CA","03/15/09 00:00:00","06/10/10 00:00:00","6540","Vetrinary technician",,
"10656","First Rate Performance Horses","Winchester","CA","03/01/08 00:00:00",,"6541","Asistant trainer",,
"10661","Parker toyota","cda","ID","02/13/11 00:00:00",,"6542","lot attendant",,
"10652","Patty Atlers","Spirit Lake","ID","06/20/11 00:00:00",,"6543","Baby-sitter",,
"10652","Shere Auterbury","Spirit Lake","ID","06/11/10 00:00:00","09/01/10 00:00:00","6544","House keeping",,
"10652","Jody Stroter","Spirit Lake","ID","08/12/11 00:00:00",,"6545","Baby-sitter",,
"10652","Pat Gill","Spirit Lake ","ID","06/19/04 00:00:00","08/29/05 00:00:00","6546","House keeping",,
"10641","The shop","smeltervill","idaho","01/01/10 00:00:00","01/01/12 00:00:00","6547","worker",,
"10646","Tony's Mowing Company","Athol","ID","05/27/10 00:00:00","08/30/10 00:00:00","6548","Manager/Owner",,
"10716","Campfire USA","Coeur d'Alene","ID","07/18/10 00:00:00",,"6597","Dishwasher",,
"10770","Sunshine Day Care","New Bedford","Massachusetts","06/01/11 00:00:00","06/01/11 00:00:00","6635","Volunteer","Month-Only","Month-Only"
"10769","Laurie and Gregg Barr","New Bedford","MA","01/01/12 00:00:00",,"6636","Babysitter ","Year-Only",
"11710","Mcallister's Deli","Waynesboro","VA","12/01/12 00:00:00",,"7385","Crew","Month-Only",
"11713","Two Scoops","Anoka","MN","09/01/12 00:00:00",,"7386","Team Member","Month-Only",
"8449","Vanguard cleaning","Coeur D Alene ","Idaho","06/27/08 00:00:00","03/22/10 00:00:00","4820","commercial cleaner ",,
"8449","Absolute Property Managment","Coeur D Alene","Idaho","07/19/09 00:00:00","09/15/09 00:00:00","4822","Property MAintenance",,
"10664","HB STEEL BUILDING","Spirit Lake","Idaho","01/01/10 00:00:00","01/01/12 00:00:00","6549","BUILDER",,
"10659","H & H Express","Spokane","WA","06/17/11 00:00:00","07/28/11 00:00:00","6550","Secretary",,
"10668","4th & Main Pizza","Spirit Lake","ID","01/01/12 00:00:00",,"6551","Cook/Waiter","Year-Only",
"10667","Don Yager","Rathdrum","ID","01/01/11 00:00:00","01/01/11 00:00:00","6552","Brush Piler","Year-Only","Year-Only"
"10667","Phil Howard","Athol","ID","01/01/11 00:00:00","01/01/11 00:00:00","6553","Hay Bailer","Year-Only","Year-Only"
"10673","Silverwood Theme Park","Athol","ID","05/05/11 00:00:00",,"6554","Cashier",,
"10679","Crist and Sons Painting","Spirit Lake","ID","01/01/07 00:00:00",,"6555","painter,  masker, roller",,
"10676","Silverwood Theme Park","Athol","Idaho","07/01/12 00:00:00","08/01/12 00:00:00","6556","Cashier","Month-Only","Month-Only"
"10675","Silverwood Theme Park","Athol","ID","04/04/11 00:00:00","10/08/11 00:00:00","6557","Housekeeper",,
"10680","Silverwood Theme Park","Athol","ID","04/20/09 00:00:00",,"6558","Games attendant ",,
"10675","Doran's Cleaning Service","Spirit Lake","ID","04/05/05 00:00:00",,"6559","Custodian",,
"10675","Ron's Drive Inn","Spokane Valley","WA","04/09/11 00:00:00",,"6560","Cook",,
"10676","Marrisa Garza","Spirit Lake","Idaho","10/01/11 00:00:00",,"6561","Babysitter","Month-Only",
"10676","Tonya and Rob Reed","Spirit Lake","Idaho","01/01/10 00:00:00",,"6562","Babysitter","Year-Only",
"10681","Silverwood Theme Park","Athol","ID","05/04/11 00:00:00","09/08/11 00:00:00","6563","Food/Beverage Handler, Cashier",,
"10681","Soccer Coach U10","Spiritlake ","ID","04/02/12 00:00:00","05/25/12 00:00:00","6564","Coach",,
"10701","Silverwood Theme Park","Athol","Id","05/04/11 00:00:00","07/11/11 00:00:00","6592","LIfeguard",,
"10722","All Starts Here","Spokane/Rathdrum","Washington/Idaho","10/12/11 00:00:00",,"6600","Lead guitar",,
"10721","HB STEEL BUILDINGS","Spirit Lake","ID","06/01/10 00:00:00","08/01/11 00:00:00","6601","constructer",,
"10706","Spirit Lake Park and Rec","Spiritlake","ID","06/20/11 00:00:00","09/27/11 00:00:00","6602","clerk",,
"10727","Kootani Medical Center","Coeur d alene","ID","06/12/09 00:00:00","08/24/11 00:00:00","6603","Volunteer",,
"10653","Brown Inc.","Spirit Lake","Idaho","09/27/95 00:00:00",,"6604","Vice President",,
"10728","CAmpus Creations ","franklin","nh","03/01/12 00:00:00",,"6605","sales associate ","Month-Only",
"10728","C.Chesley Food Services ","Concord","NH","06/01/07 00:00:00","09/01/10 00:00:00","6606","Cook ","Month-Only","Month-Only"
"10253","Rachel Bopp","Post Falls","Idaho","05/01/11 00:00:00",,"6607","Babysitter","Month-Only",
"10736","Casey's South","Waseca","MN","11/28/11 00:00:00","05/09/12 00:00:00","6608","Cashier",,
"10737","Market Basket","Tilton ","NH","04/26/06 00:00:00","03/18/10 00:00:00","6609","Cashier",,
"10737","Cumberland Farms","Franklin","NH","06/10/10 00:00:00","06/27/10 00:00:00","6610","Cashier",,
"10737","Wal Mart","Tilton","NH","04/26/12 00:00:00",,"6611","sales associate",,
"10743","CEC Theaters","Clarks Grove","MN","11/24/11 00:00:00",,"6612","Supervisor",,
"10781","New Richland Care Center","New Richland ","MN","11/06/11 00:00:00",,"6645","Dietary",,
"10783","Georges Bar & Grill","Geneva","MN","12/30/11 00:00:00",,"6646","Kitchen Clerk",,
"10047","Pamela and Wade Bailey","Winnsboro","LA","11/01/11 00:00:00",,"6746","Babysitter","Month-Only",
"10899","ACA","Alexandria","Louisiana","05/08/13 00:00:00","01/01/19 00:00:00","6747","Welder",,"Year-Only"
"11438","Cerebral Palsy of Massachusetts","new bedford","Massachusetts","03/17/12 00:00:00",,"7098","Personal Care Attendant ",,
"11438","Saint Luke's Hospital","new bedford","Massachusetts","10/25/12 00:00:00",,"7099","Gift Shop Volunteer",,
"11158","S & J Lawncare","Mangham ","LA","05/25/09 00:00:00",,"7441","Labor hand",,
"10715","Silverwood Theme Park","Athol","ID","06/01/12 00:00:00","09/01/12 00:00:00","6594","Lifeguard","Month-Only","Month-Only"
"10647","Crystal Cathedral High School Drama Department","Garden Grove","CA","10/01/08 00:00:00","06/10/11 00:00:00","6595","Stage Manager",,
"10709","Alpine Bark Blowing and Hydro Seed","Hauser ","ID","08/12/11 00:00:00",,"6596","Grounds Men ",,
"10743","Dayton Oaks Camp","Dayton","IA","06/28/11 00:00:00",,"6613","Maintence",,
"10741","Rocks and Roots","Hartland","MN","03/20/12 00:00:00",,"6614","Landscaper",,
"10741","Ricky Long Renovating","Ellendale","MN","08/13/35 00:00:00",,"6615","Construction worker",,
"10734","Maggios Pizza","Ellendale ","MN","05/12/10 00:00:00",,"6616","pizza maker/ delivery boy",,
"10734","Steve's Meat Market","Ellendale ","MN","06/03/11 00:00:00",,"6617","production worker",,
"10744","Kohls ","Owatonna","MN","04/27/12 00:00:00",,"6618","Register",,
"10744","Herbergers","Albert Lea","MN","03/03/11 00:00:00","08/30/11 00:00:00","6619","Jrs./Register",,
"10745","The Plumber Guy","Hartland","MN","06/21/03 00:00:00",,"6620","Employee",,
"10749","Villege Inn Cafe","Hartland","Minnesota","11/10/09 00:00:00",,"6621","waitress",,
"10748","Sparby Family","New Richland","MN","09/13/06 00:00:00","08/19/10 00:00:00","6622","Nanny",,
"10748","The Willow's","New Richland","MN","07/23/11 00:00:00",,"6623","Waitress",,
"10751","Target","Ellendale","MN","04/12/12 00:00:00","10/27/12 00:00:00","6624","Clerk",,
"10750","Baker Family","Geneva","MN","06/01/09 00:00:00","08/01/10 00:00:00","6625","Nanny","Month-Only","Month-Only"
"10757","Mr. Kenny Alverado","New Bedford","MA","01/01/10 00:00:00","01/01/12 00:00:00","6627","Babbysitter","Year-Only","Year-Only"
"10764","A2Z Machining","New Bedford","MA","09/01/11 00:00:00",,"6628","Assistant Part Wrapper","Month-Only",
"10755","Southworth Library","New Bedford ","MA","03/17/12 00:00:00","04/19/12 00:00:00","6629","Volunteer",,
"10764","Mrs. and Mr. Berger","Acushnet","MA","01/01/08 00:00:00",,"6630","Baby sitter","Year-Only",
"10759","Wendy's","New Bedford","MA","02/25/12 00:00:00",,"6631","Cashier",,
"10761","Brick By Brick","New Bedford ","MA","01/19/10 00:00:00","01/01/12 00:00:00","6632","Jingle writter",,"Year-Only"
"10759","D&D Catering","New Bedford","MA","07/21/11 00:00:00",,"6633","Caterer",,
"10758","The Lima Family","New Bedford","MA","05/01/10 00:00:00",,"6634","Baby Sitter","Month-Only",
"10773","Studio of Architecture and Art","New Bedford ","MA","07/01/10 00:00:00",,"6637","Intern","Month-Only",
"10765","Tempur-pedic","Somewhere","FL","01/20/12 00:00:00",,"6638","bed tester",,
"10769","Kara's Dance Center","East Freetown","MA","06/01/10 00:00:00","07/01/10 00:00:00","6639","Summer Dance Teacher","Month-Only","Month-Only"
"10766","Victoria ","New Bedford","Ma","06/01/09 00:00:00",,"6640","Baby Sisster ","Month-Only",
"10771","Family Hair Connection","New Bedford","MA","01/01/10 00:00:00",,"6641","Receptionist","Year-Only",
"10767","Abel Cunha","New Bedford ","MA","01/07/10 00:00:00",,"6642","Assembler",,
"10771","Mr. and Mrs. Howard","New Bedford","MA","01/01/11 00:00:00",,"6643","babysitter","Year-Only",
"10771","Center Stage Dance Studio","New Bedford","MA","01/01/12 00:00:00",,"6644","Dancer Assistant","Year-Only",
"10783","Arbys Inc.","Albert Lea","MN","12/05/11 00:00:00",,"6647","Cook",,
"10784","Hyvee Kitchen","Albert Lea ","MN","07/23/11 00:00:00","11/28/12 00:00:00","6648","Kitchen Clerk",,
"10785","Campus Creations ","Franklin ","NH","10/04/11 00:00:00",,"6649","sales associate",,
"10786","Blondies","New Richland","MN","11/28/11 00:00:00",,"6650","dish washer",,
